date,competitor_activity,impact_on_sales,,,,,,,,,,
2022-01-01,Ad campaign launch,5,,,,,,,,,,
2022-01-02,Price reduction,-3,,,,,,,,,,
2022-01-03,Social media promotion,2,,,,,,,,,,
2022-01-04,New product launch,4,,,,,,,,,,
2022-01-05,Discounts and promotions,1,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,",,"
,,,,,,,,,,,,",,"
,,,,,,,,,,,,",,"
,,,,,,,,,,,,",,"
,,,,,,,,,,,,",,"
,,,,,,,,,,,,",,"